# name,mass,radius,orbital_period,temp_calculated,temp_measured,molecules,star_distance
11 Com b,19.4,,326.03,,,,110.6
11 UMi b,10.5,,516.22,,,,119.5
14 And b,5.33,,185.84,,,,76.4
14 Her b,4.64,,1773.4,,,,18.1
16 Cyg B b,1.68,,799.5,,,,21.41
18 Del b,10.3,,993.3,,,,73.1
1RXS 1609 b,14,1.7,,,1800,"H2O, CO, K",145
1SWASP J1407 b,20,,3725,,,,133
24 Sex b,1.99,,452.8,,,,74.8
24 Sex c,0.86,,883,,,,74.8
2M 0103(AB) b,13,,,,,,47.2
2M 0122-2439 b,20,1,,,1380,,36
2M 0219-3925 b,13.9,1.44,,,1683,,39.4
2M 044144 b,7.5,,,,,,140
2M 0746+20 b,30,0.97,4640,,,,12.21
2M 1936+4603 b,1.9,,416,,,,
2M 2140+16 b,20,0.92,7340,,,,25
2M 2206-20 b,30,1.3,8686,,,,26.67
2M1207 b,4,,,,,,52.4
30 Ari B b,9.88,,335.1,,,,39.4
4 Uma b,7.1,,269.3,,,,78.5
42 Dra b,3.88,,479.1,,,,97.3
47 Uma b,2.53,,1078,,,,13.97
47 Uma c,0.54,,2391,,,,13.97
47 Uma d,1.64,,14002,,,,13.97
51 Eri b,7,,14965,700,,"CH4, H2O",29.4
51 Peg b,0.46,1.9,4.2308,,,"H2O, CO",14.7
55 Cnc b,0.8,,14.651,,,,12.34
55 Cnc c,0.169,,44.3446,,,,12.34
55 Cnc d,3.835,,5218,,,,12.34
55 Cnc e,0.0261775163,0.1775362254,0.7365417,,,HCN,12.34
55 Cnc f,0.144,,260.7,,,,12.34
6 Lyn b,2.4,,899,,,,56.9
61 Vir b,0.016,,4.215,,,,8.52
61 Vir c,0.0573,,38.021,,,,8.52
61 Vir d,0.072,,123.01,,,,8.52
7 CMa b,2.46,,796,,,,19.75
70 Vir b,6.6,,116.67,,,,22
75 Cet b,3,,691.9,,,,81.5
8 Umi b,1.5,,93.4,,,,159.1
81 Cet b,5.3,,952.7,,,,97.2
91 Aqr b,3.2,,181.4,,,,45.9
AB Pic b,13.5,,,,,,47.3
Aldebaran b,6.47,,628.96,,,,20.43
BD +48 738 b,0.91,,392.6,,,,
BD+15 2940 b,1.11,,137.48,,,,585
BD+20 274 c,4.2,,578.2,,,,
BD+49 828 b,1.6,,2590,,,,
BD-061339 b,0.027,,3.8728,,,,20
BD-061339 c,0.17,,125.94,,,,20
BD-082823 b,0.045,,5.6,,,,42.2
BD-082823 c,0.33,,237.6,,,,42.2
BD-10 3166 b,0.46,1.03,3.4878,,,,66
BD-114672 b,0.53,,1667,,,,27.3
BD-17 63 b,5.1,,655.6,,,,34.6
BD14 4559 b,1.47,,268.94,,,,50
BD20 2457 b,21.42,,379.63,,,,200
BD20 2457 c,12.47,,621.99,,,,200
CD-35 2722 b,31,,,,,,21.3
CFBDS 1458 b,6.5,,14600,,,,23.1
CHXR 73 b,12,,,,,,
CT Cha b,17,2.2,,,,,165
CoRoT-1 b,1.03,1.49,1.5089557,,,,460
CoRoT-10 b,2.75,0.97,13.2406,,,,345
CoRoT-11 b,2.33,1.43,2.994325,,,,560
CoRoT-12 b,0.917,1.44,2.828042,,,,1150
CoRoT-13 b,1.308,0.885,4.03519,,,,1310
CoRoT-14 b,7.6,1.09,1.51214,,,,1340
CoRoT-15 b,63.3,1.12,3.06036,1740,,,
CoRoT-16 b,0.535,1.17,5.35227,,,,840
CoRoT-17 b,2.43,1.02,3.768125,,,,920
CoRoT-18 b,3.47,1.31,1.9000693,,,,870
CoRoT-19 b,1.11,1.29,3.89713,,,,800
CoRoT-2 b,3.31,1.465,1.7429964,,,,300
CoRoT-20 b,4.24,0.84,9.24285,,,,1230
CoRoT-21 b,2.26,1.3,2.72474,,,,
CoRoT-22 b,0.0383853003,0.4353652161,9.75598,885,,,592
CoRoT-23 b,2.8,1.08,3.6314,,,,600
CoRoT-24 b,0.018,0.33,5.1134,1070,,,600
CoRoT-24 c,0.088,0.44,11.759,850,,,600
CoRoT-25 b,0.27,1.08,4.86069,,,,1000
CoRoT-26 b,0.52,1.26,4.20474,,,,1670
CoRoT-27 b,10.39,1.007,3.57532,1500,,,
CoRoT-28 b,0.484,0.955,5.20851,,,,560
CoRoT-29 b,0.85,0.9,2.85057,,,,765
CoRoT-3 b,21.77,1.01,4.2567994,,,,680
CoRoT-33 b,59,1.1,5.819143,,,,
CoRoT-4 b,0.72,1.19,9.20205,,,,
CoRoT-5 b,0.467,1.33,4.0378962,,,,400
CoRoT-6 b,2.96,1.166,8.886593,,,,
CoRoT-7 b,0.0233458138,0.1489876867,0.853585,,,,150
CoRoT-7 c,0.0264,,3.698,,,,150
CoRoT-8 b,0.2158386559,0.5691864915,6.21229,,,,380
CoRoT-9 b,0.84,0.94,95.273804,,,,460
DE0823-49 b,31.5,,247.75,,1670,,20.69
DH Tau b,11,,,,,,
DP Leo b,6.05,,10230,,,,
EPIC 201445392 c,,0.215,2.50856,801,,,
EPIC 201505350 d,,0.102,2.50856,1252,,,291
EPIC 201637175 b,1.4,0.25,0.381071,,,,225
EPIC 203771098 b,0.0661,0.52,20.8851,709,,,181
EPIC 203771098 c,0.085,0.723,42.36342,560,,,181
EPIC-206011691 b,,0.142,9.32414,,,,65
EPIC-206011691 c,,0.171,15.5012,,,,65
EPIC-210490365 b,,0.306,3.484552,,,,45.7
FU Tau b,15,,,,,,140
FW Tau b,10,,,,,,145
Fomalhaut b,3,,320000,,,,7.704
GJ 1132 b,0.0051,0.103,1.62893,580,,,12.04
GJ 1214 b,0.0203253312,0.2382018703,1.58040482,,,,13
GJ 160.2 b,0.0320926281,,5.2354,,,,
GJ 176 b,0.0265,,8.7836,,,,9.42
GJ 180 b,0.0261145896,,17.38,,,,
GJ 180 c,0.020136551,,24.329,,,,
GJ 221  BD-061339 d,0.091,,500,,,,20
GJ 229 b,0.1006827549,,471,,,,
GJ 27.1 b,0.0409023692,,15.819,,,,
GJ 3021 b,3.37,,133.71,,,,17.62
GJ 317 b,1.81,,692,,,,15.1
GJ 317 c,2,,7300,,,,15.1
GJ 328 b,2.3,,4100,,,,19.8
GJ 3293 b,0.0812,,30.6,,,,17.9
GJ 3293 d,0.0705,,123.98,,,,17.9
GJ 3341 b,0.35717,,14.207,,,,23.1
GJ 3470 b,0.0437340717,0.3738074294,3.33671,,,,30.7
GJ 3634 b,0.022,,2.64561,,,,19.8
GJ 422 b,0.0311487273,,26.161,,,,
GJ 433 b,0.01667,,7.3697,,,,9.04
GJ 433 c,0.14,,3693,,,,9.04
GJ 436 b,0.07,0.38,2.64394,,,"CO2, CO, H2O, H, H",10.2
GJ 504 b,4,0.96,,,544,CH4,17.56
GJ 667C b,0.0176,,7.2004,,,,6.84
GJ 667C c,0.0119,,28.14,,,,6.84
GJ 667C d,0.01604,,91.61,,,,6.84
GJ 667C e,0.0085,,62.24,,,,6.84
GJ 667C f,0.0085,,39.026,,,,6.84
GJ 667C g,0.0145,,256.2,,,,6.84
GJ 674 b,0.04,1.13,4.6944,,,,4.54
GJ 676A b,4.95,,1050.3,,,,16.45
GJ 676A c,3,,4400,,,,16.45
GJ 676A d,0.014,,3.6,,,,16.45
GJ 676A e,0.036,,35.37,,,,16.45
GJ 682 b,0.0138438788,,17.478,,,,
GJ 682 c,0.027365121,,57.32,,,,
GJ 758 b,35,,109000,,600,CH4,15.5
GJ 832 b,0.6890476041,,3416,,,,4.94
GJ 832 c,0.0157316805,,35.67,,,,4.94
GJ 849 b,0.9,,1914,,,,9.1
GJ 849 c,0.77,,7049,,,,9.1
GQ Lup b,21.5,1.8,,,,,140
GSC 6214-210 b,17,,,,,,145
GU Psc b,11,1.35,,,1050,CH4,48
Gj 163 b,0.0334,,8.633,,,,15
Gj 163 c,0.02285,,25.645,,,,15
Gj 163 d,0.06945,,600.895,,,,15
Gl 15 A b,0.0168328981,,11.4433,,,,3.587
Gl 179 b,0.82,,2288,,,,12.3
Gl 581 b,0.05,,5.36865,,,,6.21
Gl 581 c,0.017,,12.9182,,,,6.21
Gl 581 e,0.0061,,3.14945,,,,6.21
Gl 649 b,0.328,,598.3,,,,10.34
Gl 649 c,0.03,,4.4762,,,,10.34
Gl 687 b,0.058,,38.14,,,,4.5
Gl 785 b,0.0532,,74.72,355,,,8.911
Gl 86 b,4.01,,15.766,,,,10.9
Gliese 876 b,1.927,,61.03,,,,4.7
Gliese 876 c,0.637,,30.23,,,,4.7
Gliese 876 d,0.017,,1.94,,,,4.7
Gliese 876 e,0.039,,124.69,,,,4.7
HAT-P-1 b,0.525,1.319,4.46529976,1322,,"H2O, K, O I, C",139
HAT-P-11 b,0.0824340056,0.4219830886,4.887804,,,,38
HAT-P-12 b,0.2104898845,0.9545917648,3.2130598,,1000,,142.5
HAT-P-13 b,0.85,1.28,2.916243,,,,214
HAT-P-13 c,14.28,,446.27,,,,214
HAT-P-14 b,2.2,1.2,4.627657,,,,205
HAT-P-15 b,1.946,1.072,10.863502,,,,190
HAT-P-16 b,4.193,1.289,2.77596,,,,235
HAT-P-17 b,0.534,1.01,10.338523,,,,90
HAT-P-17 c,1.4,,1798,,,,90
HAT-P-18 b,0.183,0.947,5.508029,841,,,166
HAT-P-19 b,0.292,1.132,4.008784,,,,215
HAT-P-2 b,8.74,0.951,5.6334729,,,,118
HAT-P-20 b,7.246,0.867,2.875317,,,,70
HAT-P-21 b,4.063,1.024,4.124461,,,,254
HAT-P-22 b,2.147,1.08,3.21222,,,,82
HAT-P-23 b,2.09,1.368,1.212884,,,,393
HAT-P-24 b,0.685,1.242,3.35524,,,,306
HAT-P-25 b,0.567,1.19,3.652836,,,,297
HAT-P-26 b,0.0585218513,0.5647257824,4.234516,,,,134
HAT-P-27-WASP-40 b,0.66,1.055,3.0395803,,,,204
HAT-P-28 b,0.626,1.212,3.257215,,,,395
HAT-P-29 b,0.778,1.107,5.723186,,,,322
HAT-P-3 b,0.591,0.827,2.899703,,,,130
HAT-P-30-WASP-51 b,0.711,1.34,2.810595,,,,193
HAT-P-31 b,2.171,1.07,5.005425,,,,354
HAT-P-32 b,0.941,2.037,2.150009,,,,320
HAT-P-33 b,0.763,1.827,3.474474,,,,419
HAT-P-34 b,3.328,1.107,5.452654,,,,257
HAT-P-35 b,1.054,1.332,3.646706,,,,535
HAT-P-36 b,1.832,1.264,1.327347,,,,317
HAT-P-37 b,1.169,1.178,2.797436,,,,411
HAT-P-38 b,0.267,0.825,4.640382,,,,249
HAT-P-39 b,0.599,1.571,3.54387,,,,642
HAT-P-4 b,0.68,1.27,3.0565114,,,,310
HAT-P-40 b,0.615,1.73,4.457243,,,,501
HAT-P-41 b,0.8,1.685,2.694047,,,,344
HAT-P-42 b,0.975,1.277,4.641876,1427,,,447
HAT-P-43 b,0.66,1.283,3.332688,1361,,,543
HAT-P-44 b,0.392,1.28,4.301217,,,,374
HAT-P-44 c,1.6,,219.9,,,,374
HAT-P-45 b,0.892,1.426,3.128992,,,,305
HAT-P-46 b,0.493,1.284,4.463129,,,,296
HAT-P-46 c,2,,77.7,,,,296
HAT-P-49 b,1.73,1.413,2.691548,2131,,,322
HAT-P-5 b,1.06,1.252,2.788491,,,,340
HAT-P-50 b,1.35,1.288,3.1220109,1862,,,597
HAT-P-51 b,0.309,1.293,4.2180278,1192,,,470
HAT-P-52 b,0.818,1.009,2.7535953,1218,,,385
HAT-P-53 b,1.484,1.318,1.9616241,1778,,,719
HAT-P-54 b,0.76,0.944,3.799847,,,,135.8
HAT-P-55 b,0.582,1.182,3.5852467,1313,,,480
HAT-P-56 b,2.18,1.466,2.7908327,1840,,,310.5
HAT-P-57 b,1.85,1.413,2.465295,2200,,,303
HAT-P-6 b,1.057,1.33,3.853003,,,,200
HAT-P-7 b,1.741,1.431,2.204735471,2121,,,320
HAT-P-8 b,1.34,1.5,3.0763402,,,,230
HAT-P-9 b,0.67,1.4,3.922814,,,,480
HATS-1 b,1.855,1.302,3.446459,,,,303
HATS-10 b,0.526,0.969,3.312846,1407,,,496
HATS-13 b,0.543,1.212,3.0440499,1244,,,476
HATS-14 b,1.071,1.039,2.7667641,,,,513
HATS-2 b,1.345,1.168,1.354133,,,,360
HATS-3 b,1.071,1.381,3.547851,1648,,,453
HATS-4 b,1.323,1.02,2.516729,1315,,,420
HATS-5 b,0.237,0.912,4.763387,1025,,,257
HATS-6 b,0.319,0.998,3.3252725,,,,148.4
HATS-8 b,0.138,0.873,3.583893,1324,,,829
HATS-9 b,0.837,1.065,1.9153073,1823,,,622
HD 100655 b,1.7,,157.57,,,,122
HD 100777 b,1.16,,383.7,,,,52.8
HD 10180 c,0.041217,,5.75979,,,,39.4
HD 10180 d,0.03696945,,16.3579,,,,39.4
HD 10180 e,0.07897304,,49.745,,,,39.4
HD 10180 f,0.07519743,,122.76,,,,39.4
HD 10180 g,0.06733159,,601.2,,,,39.4
HD 10180 h,0.202624,,2222,,,,39.4
HD 101930 b,0.3,,70.46,,,,30.49
HD 102117 b,0.172,,20.67,,,,42
HD 102195 b,0.45,,4.113775,,,,28.98
HD 102272 b,5.9,,127.58,,,,360
HD 102272 c,2.6,,520,,,,360
HD 102329 b,5.9,,778.1,,,,158
HD 102365 b,0.05,,122.1,,,,9.24
HD 102956 b,0.96,,6.495,,,,126
HD 103197 b,0.098,,47.84,,,,49.3
HD 103720 b,0.62,,4.5557,,,,41.6
HD 103774 b,0.367,,5.8881,,,,55
HD 104067 b,0.186,,55.806,,,,20.8
HD 104985 b,6.3,,198.2,,,,102
HD 106252 b,7.56,,1600,,,,37.44
HD 106270 b,11,,2890,,,,84.9
HD 10647 b,0.93,,1003,,,,17.3
HD 106515A b,9.61,,3630,,,,35.2
HD 106906 b,11,,,,,,92
HD 10697 b,6.38,,1076.4,,,,32.56
HD 107148 b,0.21,,48.056,,,,51.3
HD 108147 b,0.261,,10.8985,,,,38.57
HD 108341 b,3.5,,1129,,,,49.4
HD 108863 b,2.6,,443.4,,,,139
HD 108874 b,1.36,,395.4,,,,68.5
HD 108874 c,1.018,,1605.8,,,,68.5
HD 109246 b,0.77,,68.27,,,,65.6
HD 109271 b,0.054,,7.8543,,,,62
HD 109271 c,0.076,,30.93,,,,62
HD 109749 b,0.28,0.99,5.23921,,,,59
HD 110014 b,11.09,,835.477,,,,90
HD 111232 b,6.8,,1143,,,,29
HD 113337 b,2.83,,324,,,,36.9
HD 113538 b,0.36,,663.2,,,,15.8
HD 113538 c,0.93,,1818,,,,15.8
HD 114386 b,1.24,,937,,,,28
HD 114386 c,1.19,,1046,,,,28
HD 114613 b,0.48,,3827,,,,20.67
HD 114729 b,0.84,,1135,,,,35
HD 114762 b,10.98,,83.9151,,,,39.46
HD 114783 b,1,,501,,,,20.4
HD 11506 b,3.44,,1270,,,,53.82
HD 11506 c,0.82,,170.46,,,,53.82
HD 116029 b,2.1,,670.2,,,,123.2
HD 117207 b,2.06,,2627.08,,,,33
HD 11755 b,6.5,,433.7,,,,231.5
HD 117618 b,0.178,,25.827,,,,38
HD 117618 c,0.2,,318,,,,38
HD 118203 b,2.14,1.05,6.13322,,,,88.6
HD 11964 b,0.622,,1945,,,,33.98
HD 11964 c,0.079,,37.91,,,,33.98
HD 11977 b,6.54,,711,,,,66.5
HD 120084 b,4.5,,2082,,,,97.7
